product_id,product_name,category,price,stock_quantity,created_at
1,Up-sized attitude-oriented middleware,Electronics,321.52,389,2025-02-08
2,Monitored actuating attitude,Beauty,141.14,81,2024-03-07
3,Compatible global portal,Home & Kitchen,369.55,312,2025-03-05
4,Right-sized hybrid time-frame,Electronics,213.85,57,2023-11-06
5,Sharable encompassing toolset,Electronics,113.23,297,2025-11-05
6,Pre-emptive discrete help-desk,Toys,103.42,122,2024-07-12
7,Multi-tiered intermediate contingency,Sports,227.36,424,2024-11-27
8,Switchable homogeneous artificial intelligence,Apparel,435.3,367,2025-03-09
9,Implemented dynamic structure,Sports,214.19,89,2023-02-02
10,Future-proofed coherent implementation,Books,111.58,62,2025-01-01
11,Sharable coherent support,Home & Kitchen,50.91,193,2024-01-15
12,Multi-lateral bi-directional array,Sports,424.51,423,2022-11-19
13,Integrated leadingedge hierarchy,Grocery,26.51,284,2025-02-25
14,Customer-focused clear-thinking array,Toys,66.79,50,2023-06-07
15,Organized next generation open architecture,Books,278.26,305,2024-05-28
16,Customer-focused 4thgeneration array,Home & Kitchen,100.18,33,2023-12-06
17,Cross-group radical policy,Sports,332.33,50,2025-03-22
18,Networked 24/7 frame,Home & Kitchen,428.38,204,2024-02-10
19,Vision-oriented attitude-oriented success,Books,142.6,93,2025-07-28
20,Fully-configurable object-oriented model,Beauty,188.24,353,2023-05-18
21,Multi-tiered composite challenge,Home & Kitchen,137.15,321,2023-09-04
22,Future-proofed modular circuit,Beauty,319.31,93,2023-01-22
23,Optional even-keeled instruction set,Sports,233.82,483,2023-10-08
24,Compatible high-level extranet,Beauty,321.8,360,2025-09-13
25,Up-sized responsive methodology,Electronics,165.52,127,2024-08-25
26,Exclusive logistical benchmark,Books,411.79,215,2023-04-11
27,Adaptive hybrid groupware,Beauty,137.53,477,2025-05-24
28,Multi-tiered full-range intranet,Books,471.74,118,2023-11-15
29,Streamlined radical challenge,Toys,329.44,462,2023-10-09
30,Robust system-worthy customer loyalty,Grocery,457.7,83,2024-04-21
31,Enhanced hybrid functionalities,Beauty,136.12,391,2023-09-29
32,Team-oriented scalable matrix,Sports,282.88,392,2025-10-09
33,Fully-configurable fresh-thinking implementation,Toys,294.37,195,2023-09-17
34,Object-based high-level budgetary management,Apparel,113.56,270,2025-08-31
35,Exclusive optimizing moratorium,Electronics,249.29,450,2023-05-30
36,Visionary neutral algorithm,Apparel,59.28,415,2025-09-23
37,Persistent tertiary database,Home & Kitchen,341.84,207,2024-03-08
38,Implemented system-worthy architecture,Grocery,193.9,280,2025-04-29
39,Open-source systematic methodology,Electronics,129.45,358,2023-04-15
40,Innovative disintermediate extranet,Sports,361.76,403,2024-11-04
41,Universal interactive utilization,Home & Kitchen,322.28,160,2024-01-01
42,Organized radical matrices,Grocery,220.21,11,2024-08-13
43,Public-key motivating solution,Sports,477.14,266,2024-02-15
44,Automated high-level standardization,Home & Kitchen,382.17,455,2025-07-22
45,Public-key radical productivity,Beauty,314.52,88,2025-08-12
46,Customer-focused zero administration encryption,Apparel,190.09,286,2024-11-03
47,Multi-channeled composite project,Electronics,476.98,316,2024-09-15
48,Re-contextualized secondary service-desk,Electronics,165.46,67,2024-10-22
49,Versatile full-range utilization,Sports,464.9,132,2024-02-28
50,Advanced bandwidth-monitored firmware,Home & Kitchen,33.67,53,2023-07-15
51,User-friendly multi-state open architecture,Home & Kitchen,367.29,399,2024-08-11
52,Re-engineered directional knowledge user,Apparel,268.69,75,2023-12-29
53,Persistent zero administration service-desk,Apparel,331.58,145,2024-08-20
54,Profit-focused coherent hardware,Toys,266.2,118,2025-11-11
55,Polarized bi-directional frame,Beauty,464.81,375,2024-02-12
56,Configurable bifurcated superstructure,Books,159.3,234,2023-04-18
57,Integrated global knowledgebase,Grocery,450.31,71,2025-03-22
58,Programmable mission-critical hardware,Home & Kitchen,127.71,183,2024-04-18
59,Organic uniform standardization,Beauty,15.41,311,2024-03-23
60,Cloned exuding analyzer,Home & Kitchen,114.01,372,2025-04-19
61,Customizable 3rdgeneration Graphical User Interface,Beauty,317.4,44,2024-10-24
62,Synergistic composite support,Books,453.18,46,2023-08-08
63,Enhanced neutral complexity,Sports,259.51,352,2023-11-11
64,Optimized maximized emulation,Apparel,245.28,380,2025-04-06
65,Self-enabling contextually-based contingency,Grocery,468.08,134,2024-10-15
66,Optional hybrid algorithm,Toys,393.39,107,2025-01-30
67,Exclusive local parallelism,Toys,51.69,191,2024-02-27
68,Adaptive tertiary data-warehouse,Grocery,214.67,452,2023-06-27
69,Versatile tertiary workforce,Home & Kitchen,365.89,41,2025-04-04
70,Re-engineered bi-directional website,Books,204.3,419,2025-06-26
71,Enterprise-wide high-level Graphic Interface,Beauty,431.53,108,2023-06-17
72,Customizable empowering secured line,Grocery,99.15,81,2025-06-16
73,Progressive scalable functionalities,Sports,213.83,246,2024-08-29
74,Seamless hybrid parallelism,Home & Kitchen,128.65,236,2023-03-19
75,Multi-channeled logistical process improvement,Home & Kitchen,404.97,35,2023-05-22
76,Synergistic tertiary website,Electronics,327.81,57,2023-10-05
77,Seamless optimizing artificial intelligence,Beauty,463.55,95,2024-11-19
78,Intuitive bottom-line encoding,Grocery,206.17,119,2023-10-14
79,Enterprise-wide holistic solution,Electronics,433.0,94,2023-04-17
80,Networked intangible policy,Toys,192.59,145,2023-04-14
